PlantID,DESCRIPTION,Country,Genotype,Species,POT_BARCODE,Subpop,Varietal_Group,ExperimentID,PlantCreatedOn..Day.Month.Year.,CreatedOn..Day.Month.Year.,Jday,PlantAge,SideAverageCenterOfMassDistance,SideAverageCenterOfMassX,SideAverageCenterOfMassY,SideAverageConvexHull,SideAverageHeight,SideAverageHue,SideAverageRoundness,SideAverageSaturation,SideAverageSurface,SideAverageValue,TopAverageHue,TopAverageSaturation,TopAverageValue,TopCenterOfMassDistance,TopCenterOfMassX,TopCenterOfMassY,TopConvexHull,TopPlantSurface,TopRoundness,TopSurface
200418,NSFTV16_ARO_Brazil_Bico Branco,Brazil,Bico Branco,Rice,200418,aromatic,JAPONICA,203,3/12/20,5/8/20,20129,15,1251,486,642,5667,486,174,43,9,1750,51,31,1,96,565,287,635,47310,6343,23,6343
200418,NSFTV16_ARO_Brazil_Bico Branco,Brazil,Bico Branco,Rice,200418,aromatic,JAPONICA,203,3/12/20,5/11/20,20132,18,1260,487,621,14020,517,158,31,10,3211,50,59,49,39,525,592,674,2218,1059,56,1059
200418,NSFTV16_ARO_Brazil_Bico Branco,Brazil,Bico Branco,Rice,200418,aromatic,JAPONICA,203,3/12/20,5/13/20,20134,20,1273,486,590,23482,644,159,17,10,5531,50,58,47,42,545,577,655,9044,1877,40,1877
200418,NSFTV16_ARO_Brazil_Bico Branco,Brazil,Bico Branco,Rice,200418,aromatic,JAPONICA,203,3/12/20,5/15/20,20136,22,1286,486,561,53780,677,152,13,12,8673,49,67,51,41,529,531,671,37212,4113,28,4113
200418,NSFTV16_ARO_Brazil_Bico Branco,Brazil,Bico Branco,Rice,200418,aromatic,JAPONICA,203,3/12/20,5/18/20,20139,25,1296,486,538,89070,706,142,13,13,16175,48,68,51,41,525,522,675,115778,10531,13,10531
200418,NSFTV16_ARO_Brazil_Bico Branco,Brazil,Bico Branco,Rice,200418,aromatic,JAPONICA,203,3/12/20,5/20/20,20141,27,1302,484,524,119127,745,143,11,14,23509,47,71,52,42,535,501,665,171418,20262,8,20262
200418,NSFTV16_ARO_Brazil_Bico Branco,Brazil,Bico Branco,Rice,200418,aromatic,JAPONICA,203,3/12/20,5/22/20,20143,29,1309,484,507,165311,769,143,14,15,34398,45,73,50,42,548,487,651,253082,33330,7,33330
200418,NSFTV16_ARO_Brazil_Bico Branco,Brazil,Bico Branco,Rice,200418,aromatic,JAPONICA,203,3/12/20,5/27/20,20148,34,1324,484,474,273510,877,139,17,18,65692,42,77,49,41,557,505,642,375380,67373,8,67373
200418,NSFTV16_ARO_Brazil_Bico Branco,Brazil,Bico Branco,Rice,200418,aromatic,JAPONICA,203,3/12/20,5/29/20,20150,36,1328,483,465,322506,897,135,18,20,83405,41,78,48,40,572,509,627,450822,95655,6,95655
200418,NSFTV16_ARO_Brazil_Bico Branco,Brazil,Bico Branco,Rice,200418,aromatic,JAPONICA,203,3/12/20,6/1/20,20153,39,1331,482,457,384966,909,129,16,20,100766,40,75,47,41,586,521,614,602908,122398,5,122398
200418,NSFTV16_ARO_Brazil_Bico Branco,Brazil,Bico Branco,Rice,200418,aromatic,JAPONICA,203,3/12/20,6/3/20,20155,41,1333,482,453,403059,924,124,16,21,107990,41,74,48,42,584,529,616,614314,129896,5,129896
200418,NSFTV16_ARO_Brazil_Bico Branco,Brazil,Bico Branco,Rice,200418,aromatic,JAPONICA,203,3/12/20,6/5/20,20157,43,1333.56567745613,483.38416155204,451.942007865656,429097.324382062,950.20886843928,122.225656025698,13.7360159915416,20.2724552150161,115376.126860721,40.9032258064516,78.6907862665925,45.6564010317656,40.4140927826137,574.753764270724,525.54299566432,624.264232003526,638118.946542416,124910.151705254,3.87027923257296,124910.151705254
200418,NSFTV16_ARO_Brazil_Bico Branco,Brazil,Bico Branco,Rice,200418,aromatic,JAPONICA,203,3/12/20,6/8/20,20160,46,1335.45172525091,483.630641948323,446.47580137215,451819.887764469,1020.33169187871,119.737505697584,13.2558238927571,20.7366193642069,117817.136672021,41.158028830345,78.0617469583383,45.8079190246441,39.86565910116,570.221696818032,531.485032544736,628.928044842614,609999.108801242,129141.686950382,4.19316589063796,129141.686950382
200418,NSFTV16_ARO_Brazil_Bico Branco,Brazil,Bico Branco,Rice,200418,aromatic,JAPONICA,203,3/12/20,6/10/20,20162,48,1336.02990662672,484.402968932581,445.192381802757,437847.438076864,1031.92544284984,122.183723975626,10.402090403725,20.614287869913,117261.739420145,41.3015997618282,76.0721578749663,47.1109609183384,39.5915859490008,583.020977456154,509.812802080304,617.194177106779,566908.912572202,109332.147797267,3.66778893678295,109332.147797267
200418,NSFTV16_ARO_Brazil_Bico Branco,Brazil,Bico Branco,Rice,200418,aromatic,JAPONICA,203,3/12/20,6/12/20,20164,50,1337.19241919896,483.342999841057,442.310930740399,430814.908852894,1046.93822979676,121.099070853587,9.78444958601071,20.7435924573252,119086.870006587,42.0855545845599,75.4727484485772,46.7186542420941,39.1559755899535,575.54802940363,524.997045679394,623.564773076306,535280.429007129,99146.9455549708,4.89117327610125,99146.9455549708
200418,NSFTV16_ARO_Brazil_Bico Branco,Brazil,Bico Branco,Rice,200418,aromatic,JAPONICA,203,3/12/20,6/15/20,20167,53,1337.64071980337,482.471982703905,441.847908132191,426791.53954046,1044.05297943626,121.473646628597,9.44751981091819,20.7674125155458,117951.816002383,42.1630333555076,76.6182673104746,46.1430358325987,38.4108219492829,577.774931681842,537.359321333887,622.444427911901,512134.838754048,100255.95361146,4.40247801746872,100255.95361146
200418,NSFTV16_ARO_Brazil_Bico Branco,Brazil,Bico Branco,Rice,200418,aromatic,JAPONICA,203,3/12/20,6/17/20,20169,55,1337.58417809702,484.632365340685,442.068643297452,425281.692942213,1040.99604884954,118.407332299305,10.215068109345,21.6115165308825,117105.658509183,41.5033771688309,73.6795063103147,47.3352953789474,39.28923313418,572.329739438119,547.636401179671,626.704457457881,521721.776385635,108252.232352165,5.19222997791005,108252.232352165
